mv_to_gpu: 0.03206133842468262, forward: 0.640225887298584, backwardU: 0.3994112014770508, batch: 1
mv_to_gpu: 0.01933133602142334, forward: 0.41699302196502686, backwardU: 7.908130168914795, batch: 2
get_input: 1667531445.3186355 mv_to_gpu: 0.007891654968261719, forward: 0.5420982837677002, backwardU: 0.4076390266418457, batch: 1
get_input: 833765738.6359677 mv_to_gpu: 0.008208274841308594, forward: 0.3753495216369629, backwardU: 0.41329312324523926, batch: 2
get_input: 555843833.8224678 mv_to_gpu: 0.007846514383951822, forward: 0.3058163324991862, backwardU: 0.4057513078053792, batch: 3
get_input: 416882880.18202865 mv_to_gpu: 0.0076389312744140625, forward: 0.2694956660270691, backwardU: 0.40324950218200684, batch: 4
get_input: 333506308.8034149 mv_to_gpu: 0.007389450073242187, forward: 0.249763822555542, backwardU: 0.4019946575164795, batch: 5
get_input: 277921927.57068944 mv_to_gpu: 0.00730443000793457, forward: 0.23485994338989258, backwardU: 0.3998994429906209, batch: 6
get_input: 238218800.46320534 mv_to_gpu: 0.007222107478550502, forward: 0.2254091671534947, backwardU: 0.3991697515760149, batch: 7
get_input: 208441453.435634 mv_to_gpu: 0.007174968719482422, forward: 0.21725308895111084, backwardU: 0.39872780442237854, batch: 8
get_input: 185281294.1601306 mv_to_gpu: 0.00710908571879069, forward: 0.2117362552218967, backwardU: 0.3984442287021213, batch: 9
get_input: 166753168.4675381 mv_to_gpu: 0.007046937942504883, forward: 0.20769405364990234, backwardU: 0.39844136238098143, batch: 10
get_input: 151593791.81856978 mv_to_gpu: 0.006977276368574662, forward: 0.20326170054349033, backwardU: 0.3979407007044012, batch: 11
get_input: 138960977.5456517 mv_to_gpu: 0.006933867931365967, forward: 0.20033846298853555, backwardU: 0.39743584394454956, batch: 12
get_input: 1667531903.1060953 mv_to_gpu: 0.0439753532409668, forward: 0.6986796855926514, backwardU: 0.4047877788543701, batch: 1
get_input: 833765984.3296368 mv_to_gpu: 0.027407526969909668, forward: 0.4415856599807739, backwardU: 0.40811383724212646, batch: 2

# aug1 beforeget_input: 1667532224.4215255 mv_to_gpu: 0.007330179214477539, forward: 0.4526350498199463, backwardU: 0.39872002601623535, batch: 1
get_input: 833766112.8746984 mv_to_gpu: 0.0068596601486206055, forward: 0.30606698989868164, backwardU: 0.39558660984039307, batch: 2
get_input: 555844075.5030069 mv_to_gpu: 0.006638129552205403, forward: 0.25672300656636554, backwardU: 0.39097992579142254, batch: 3
get_input: 416883056.90272856 mv_to_gpu: 0.006563961505889893, forward: 0.23195266723632812, backwardU: 0.390516996383667, batch: 4
get_input: 333506445.8022472 mv_to_gpu: 0.006628942489624023, forward: 0.2173367977142334, backwardU: 0.38944201469421386, batch: 5
get_input: 277922038.3614181 mv_to_gpu: 0.00668497880299886, forward: 0.20754067103068033, backwardU: 0.39994339148203534, batch: 6
get_input: 238218890.17004675 mv_to_gpu: 0.006631238119942802, forward: 0.2006220476967948, backwardU: 0.3975907393864223, batch: 7
get_input: 208441529.04578567 mv_to_gpu: 0.006645679473876953, forward: 0.19552597403526306, backwardU: 0.39793944358825684, batch: 8
get_input: 185281359.29231942 mv_to_gpu: 0.006895091798570421, forward: 0.19190200169881186, backwardU: 0.4021730422973633, batch: 9
get_input: 166753223.48826334 mv_to_gpu: 0.006835532188415527, forward: 0.18859584331512452, backwardU: 0.40050246715545657, batch: 10
get_input: 151593839.6230239 mv_to_gpu: 0.006780299273404208, forward: 0.18579339981079102, backwardU: 0.39956818927418103, batch: 11
get_input: 138961019.7713802 mv_to_gpu: 0.006734689076741536, forward: 0.18354374170303345, backwardU: 0.40101661284764606, batch: 12
get_input: 128271710.66961758 mv_to_gpu: 0.006721129784217248, forward: 0.18168924405024603, backwardU: 0.40016876734220064, batch: 13

# single inputget_input: 1667532489.3204396 mv_to_gpu: 0.010038375854492188, forward: 0.48085594177246094, backwardU: 0.39915943145751953, batch: 1
get_input: 833766245.3714645 mv_to_gpu: 0.008516550064086914, forward: 0.3196758031845093, backwardU: 0.3906446695327759, batch: 2
get_input: 555844163.8237098 mv_to_gpu: 0.00790866216023763, forward: 0.2659253279368083, backwardU: 0.38876819610595703, batch: 3
get_input: 416883123.1282816 mv_to_gpu: 0.0075664520263671875, forward: 0.23886549472808838, backwardU: 0.3905832767486572, batch: 4
get_input: 333506498.7735888 mv_to_gpu: 0.007355833053588867, forward: 0.22266840934753418, backwardU: 0.38959364891052245, batch: 5
get_input: 277922082.48824733 mv_to_gpu: 0.007229010264078776, forward: 0.21174164613087973, backwardU: 0.3925868272781372, batch: 6
get_input: 238218927.98530892 mv_to_gpu: 0.007111583437238421, forward: 0.204054662159511, backwardU: 0.391233001436506, batch: 7
get_input: 208441562.12880412 mv_to_gpu: 0.007095217704772949, forward: 0.19826549291610718, backwardU: 0.39032211899757385, batch: 8
get_input: 185281388.69505933 mv_to_gpu: 0.006992816925048828, forward: 0.1935964955223931, backwardU: 0.3900702264573839, batch: 9
get_input: 166753249.9370267 mv_to_gpu: 0.006971597671508789, forward: 0.19048936367034913, backwardU: 0.3914647102355957, batch: 10
get_input: 151593863.67107955 mv_to_gpu: 0.006883577866987748, forward: 0.18741791898554022, backwardU: 0.39024370366876776, batch: 11
get_input: 138961041.80824116 mv_to_gpu: 0.0068056583404541016, forward: 0.18489591280619302, backwardU: 0.39167535305023193, batch: 12
get_input: 128271731.00855218 mv_to_gpu: 0.0067363152137169474, forward: 0.18275869809664214, backwardU: 0.39084647252009463, batch: 13
get_input: 119109464.6947209 mv_to_gpu: 0.0067084687096732, forward: 0.18098032474517822, backwardU: 0.39014296872275217, batch: 14
get_input: 111168833.7873679 mv_to_gpu: 0.0066936651865641275, forward: 0.17942503293355305, backwardU: 0.389777406056722, batch: 15
get_input: 104220781.7289643 mv_to_gpu: 0.006660535931587219, forward: 0.1782611757516861, backwardU: 0.38946351408958435, batch: 16
get_input: 98090147.5806193 mv_to_gpu: 0.0066541363211239084, forward: 0.1770304090836469, backwardU: 0.38903232181773467, batch: 17
get_input: 92640695.03904086 mv_to_gpu: 0.006651494238111708, forward: 0.17617972691853842, backwardU: 0.389396866162618, batch: 18
get_input: 87764869.04304323 mv_to_gpu: 0.006615199540790759, forward: 0.17520067566319517, backwardU: 0.3901391280324836, batch: 19
get_input: 83376625.66392358 mv_to_gpu: 0.006592810153961182, forward: 0.17425986528396606, backwardU: 0.3899367094039917, batch: 20
get_input: 79406310.22079408 mv_to_gpu: 0.006993486767723447, forward: 0.1738248893192836, backwardU: 0.3907928012666248, batch: 21
get_input: 75796932.54493417 mv_to_gpu: 0.006965517997741699, forward: 0.1731513196771795, backwardU: 0.3903712142597545, batch: 22
get_input: 72501413.78577888 mv_to_gpu: 0.006939483725506327, forward: 0.1724976560343867, backwardU: 0.3898792888807214, batch: 23
get_input: 69480521.58934332 mv_to_gpu: 0.006913145383199056, forward: 0.1718711256980896, backwardU: 0.38940205176671344, batch: 24
get_input: 66701300.78246867 mv_to_gpu: 0.00688105583190918, forward: 0.1712396812438965, backwardU: 0.38904208183288574, batch: 25
get_input: 64135866.19276123 mv_to_gpu: 0.0068531953371488135, forward: 0.17077035170335036, backwardU: 0.3893068478657649, batch: 26
get_input: 61760463.78938349 mv_to_gpu: 0.006812077981454355, forward: 0.17026811175876194, backwardU: 0.388979814670704, batch: 27
get_input: 59554733.033615775 mv_to_gpu: 0.006796896457672119, forward: 0.17012529713766916, backwardU: 0.38864019938877653, batch: 28
get_input: 57501121.593848616 mv_to_gpu: 0.00677165491827603, forward: 0.1697544476081585, backwardU: 0.38903646633542815, batch: 29
get_input: 55584417.598444924 mv_to_gpu: 0.0067434549331665036, forward: 0.16932185490926108, backwardU: 0.3888140598932902, batch: 30
get_input: 53791371.90954003 mv_to_gpu: 0.006719404651272682, forward: 0.16895482617039834, backwardU: 0.38860344886779785, batch: 31
get_input: 52110391.56584725 mv_to_gpu: 0.006707586348056793, forward: 0.16859295964241028, backwardU: 0.38841257989406586, batch: 32
get_input: 50531288.84606632 mv_to_gpu: 0.006696115840565075, forward: 0.1682523741866603, backwardU: 0.38811183698249585, batch: 33
get_input: 49045074.50530675 mv_to_gpu: 0.006675979670356302, forward: 0.16793815528645234, backwardU: 0.3879861691418816, batch: 34
get_input: 47643786.690136075 mv_to_gpu: 0.006646074567522322, forward: 0.1675873143332345, backwardU: 0.3878478867667062, batch: 35
get_input: 46320348.199207306 mv_to_gpu: 0.006629467010498047, forward: 0.16746810409757826, backwardU: 0.3883917000558641, batch: 36
get_input: 45068446.954432264 mv_to_gpu: 0.0066157225016001105, forward: 0.1672024018055684, backwardU: 0.38826161461907466, batch: 37
get_input: 43882435.230177365 mv_to_gpu: 0.0065909624099731445, forward: 0.16693068178076492, backwardU: 0.3880758348264192, batch: 38
get_input: 42757244.62187422 mv_to_gpu: 0.0065826513828375404, forward: 0.1667666129576854, backwardU: 0.3879193464914958, batch: 39
get_input: 41688313.53465647 mv_to_gpu: 0.006569409370422363, forward: 0.16652783751487732, backwardU: 0.38785889744758606, batch: 40
get_input: 40671525.42179449 mv_to_gpu: 0.006552294987003978, forward: 0.16626705192938085, backwardU: 0.38772071861639257, batch: 41
get_input: 39703155.80161696 mv_to_gpu: 0.006538419496445428, forward: 0.16605810324350992, backwardU: 0.38762809549059185, batch: 42
